Kapiti_F,Kapiti_D,Kapiti_S,Maunga_F,Maunga_D,Maunga_S,Rotok_F,Rotok_D,Rotok_S,Tiri_F,Tiri_D,Tiri_S,Karori_F,Karori_D,Karori_S,Bushy_F,Bushy_D,Bushy_S,Bushy_a,Bushy_b,Bushy_T,Karori_a,Karori_b,Karori_T,Maunga_a,Maunga_b,Maunga_T,Rotok_a,Rotok_b,Rotok_T,Tiri_a,Tiri_b,Tiri_T
41,1.308,1.393,37,-0.03121,0.566547741,22,1.35,1.678,97,1.015,1.143,25,0.6582,0.8765,14,0.09681,0.7099,-0.2393,-3.46,0.5,-0.3831,-1.659,0.27,0.1937,-1.338,0.58,0.2402,-1.539,0.2023,0.5387,-12.22,0.07
44,1.383,1.053,41,-0.03121,0.668679821,23,1.35,1.34,92,1.015,1.049,23,0.6047,0.8298,11,0.01772,0.7234,-0.2995,-3.468,0.5,-0.3392,-1.726,0.27,0.2283,-1.459,0.58,0.3133,-1.693,0.2025,0.5387,-12.22,0.07
42,1.389,0.9912,43,0.09716,0.190017297,23,1.219,1.846,89,1.044,1.538,26,0.6047,0.5123,14,0.06988,0.7514,-0.2995,-3.468,0.5,-0.3392,-1.726,0.27,0.2283,-1.459,0.58,0.2152,-1.632,0.2019,0.5387,-12.22,0.07
39,1.445,0.846,44,0.09716,0.433507935,21,1.219,1.918,89,1.044,1.598,25,0.6047,0.5665,10,0.06988,0.8701,-0.2995,-3.468,0.5,-0.3392,-1.726,0.27,0.2283,-1.459,0.58,0.1381,-1.574,0.198,0.543,-12.24,0.07
35,1.457,1.228,34,0.09716,0.717467813,22,1.331,1.3,90,1.044,1.473,28,0.5598,0.6483,9,0.01249,0.849,-0.2488,-3.562,0.5,-0.4054,-2.08,0.27,0.2233,-1.319,0.58,0.1381,-1.574,0.198,0.543,-12.24,0.07
42,1.457,0.846,45,-0.584,0.717467813,18,1.468,1.543,89,1.044,1.094,25,0.5157,0.6255,12,0.01249,0.7546,-0.2482,-3.626,0.5,-0.4672,-2.086,0.27,0.2233,-1.319,0.58,0.1328,-1.529,0.2,0.5143,-11.71,0.07
42,1.357,0.7228,38,-0.4906,0.194831106,21,1.435,1.731,87,1.044,1.629,26,0.5157,0.7213,16,0.03232,0.6532,-0.2025,-3.617,0.5,-0.5034,-2.145,0.27,0.1955,-1.321,0.58,0.1233,-1.684,0.1956,0.5143,-11.71,0.07
38,1.324,0.6319,39,-0.4906,0.514431583,21,1.523,1.772,88,0.9732,1.394,18,0.5448,0.7945,12,0.03232,0.6759,-0.04146,-3.718,0.5,-0.4951,-2.079,0.27,0.1961,-1.324,0.58,0.1233,-1.684,0.1956,0.4729,-12.14,0.07
35,1.406,0.9039,40,-0.4906,0.516731897,20,1.523,1.945,89,0.9928,1.36,25,0.505,0.7208,10,0.1231,0.8198,-0.0717,-3.819,0.5,-0.5002,-2.235,0.27,0.1961,-1.324,0.58,0.144,-1.751,0.1935,0.4617,-12.02,0.07
36,1.406,0.7612,40,-0.001687,0.52158154,20,1.362,1.948,91,0.9928,1.299,24,0.505,0.7252,12,-0.01358,0.5908,-0.1216,-3.535,0.5,-0.4585,-2.001,0.27,0.1961,-1.324,0.58,0.1344,-1.976,0.1886,0.4617,-12.02,0.07
38,1.254,0.7191,41,-0.001687,0.52158154,20,1.362,1.76,90,1.004,1.479,28,0.505,0.8231,16,-0.01358,0.5993,-0.1405,-3.72,0.5,-0.4166,-2.25,0.27,0.2276,-1.248,0.58,0.09928,-2.059,0.1913,0.4488,-11.87,0.07
39,1.317,0.8143,45,-0.001687,0.52158154,20,1.328,1.438,89,1.004,1.794,22,0.6346,0.8357,15,0.01604,0.5634,-0.1642,-3.636,0.5,-0.456,-2.32,0.27,0.2276,-1.248,0.58,0.1205,-2.145,0.1902,0.4488,-11.87,0.07
39,1.347,0.7363,37,-0.1879,0.817430476,24,1.088,1.413,88,1.004,1.167,21,0.603,0.4911,15,0.01604,0.5588,-0.1056,-3.53,0.5,-0.3888,-2.306,0.27,0.2276,-1.248,0.58,0.1205,-2.145,0.1902,0.4477,-12.18,0.07
37,1.347,0.86,34,-0.1879,0.817430476,24,1.203,1.492,90,1.039,1.667,24,0.603,0.5324,13,-0.0002655,0.5929,-0.1056,-3.53,0.5,-0.4154,-2.243,0.27,0.2579,-1.212,0.58,0.09045,-3.406,0.2267,0.4662,-11.88,0.07
